predicate;formula;frequency;closest_solution;closest_solution_edit_distance
this/inv8;(all ref0:(one Professor)|(ref0 !in (ref0 . (Person <: teaches))));40;(all ref0:(one Professor)|(ref0 !in ((Person <: enrolled) . (ref0 . (Person <: teaches)))));4
this/inv4;(all ref0:(one Project)|(ref0 in (Course . (Course <: projects))));39;(all ref0:(one Project)|(one ref1:(one Course)|(ref0 in (ref1 . (Course <: projects)))));5
this/inv9;(all ref0:(one Course),ref1:(one Professor),ref2:(one Professor)|((ref0 in (ref1 . (Person <: teaches))) => (ref0 !in (ref2 . (Person <: enrolled)))));36;(all ref0:(one Professor)|(ref0 in Professor));14
this/inv14;(all ref0:(one Student),ref1:(one Student)|(lone ((ref0 . (Person <: projects)) & (ref1 . (Person <: projects)))));33;(all ref0:(one Student),ref1:(one (Student - ref0))|(lone ((ref0 . (Person <: projects)) & (ref1 . (Person <: projects)))));4
this/inv7;(all ref0:(one Student)|(lone ((ref0 . (Person <: enrolled)) . (Course <: projects))));31;(all ref0:(one Course),ref1:(one Student)|(lone ref2:(one (ref1 . (Person <: projects)))|(ref2 in (ref0 . (Course <: projects)))));9
this/inv1;(all ref0:(one Professor)|(no (ref0 . (Person <: enrolled))));30;(all ref0:(one (Person - Student))|(no (ref0 . (Person <: enrolled))));2
this/inv7;(all ref0:(one Student)|(lone (((ref0 . (Person <: enrolled)) . (Course <: projects)) & (ref0 . (Person <: projects)))));30;(all ref0:(one Course),ref1:(one Person)|(lone ((ref0 . (Course <: projects)) & (ref1 . (Person <: projects)))));7
this/inv5;(all ref0:(one Person),ref1:(one Project)|((ref1 in (ref0 . (Person <: projects))) => (ref0 in Student)));29;(all ref0:(one Person),ref1:(one Project)|(((ref1 in (ref0 . (Person <: projects))) => (ref0 in Student)) && (ref1 in (Person . (Person <: projects)))));10
this/inv5;(all ref0:(one Person),ref1:(one Project)|(((ref0 -> ref1) in (Person <: projects)) => (ref0 in Student)));26;((all ref0:(one Person),ref1:(one Project)|(((ref0 -> ref1) in (Person <: projects)) => (ref0 in Student))) && (all ref2:(one Project)|(some ((Person <: projects) . ref2))));10
this/inv9;(all ref0:(one Professor)|(no ((ref0 . (Person <: teaches)) & (Professor . (Person <: enrolled)))));24;(all ref0:(one Professor),ref1:(one ((Person <: teaches) . (ref0 . (Person <: teaches))))|(no ((ref0 . (Person <: teaches)) & (ref1 . (Person <: enrolled)))));5
this/inv9;(all ref0:(one Professor)|(no ((ref0 . (Person <: teaches)) & ((Professor - ref0) . (Person <: enrolled)))));23;(all ref0:(one Professor),ref1:(one ((Person <: teaches) . (ref0 . (Person <: teaches))))|(no ((ref0 . (Person <: teaches)) & (ref1 . (Person <: enrolled)))));7
this/inv9;(all ref0:(one Course),ref1:(one Professor),ref2:(one Professor)|(((ref1 != ref2) && ((ref1 -> ref0) in (Person <: teaches))) => ((ref2 -> ref0) !in (Person <: enrolled))));21;(all ref0:(one Course),ref1:(one ((Person <: teaches) . ref0)),ref2:(one ((Person <: teaches) . ref0))|((ref1 != ref2) => (all ref3:(one Course)|(((ref1 -> ref3) in (Person <: teaches)) => ((ref2 -> ref3) !in (Person <: enrolled))))));13
this/inv5;(all ref0:(one Project)|(some ref1:(one Student)|(ref0 in (ref1 . (Person <: projects)))));20;((Person <: projects) in (Student some-> Project));8
this/inv8;(all ref0:(one Professor)|((ref0 . (Person <: teaches)) !in (ref0 . (Person <: enrolled))));20;(all ref0:(one Professor)|(ref0 !in ((Person <: teaches) . (ref0 . (Person <: enrolled)))));4
this/inv5;(all ref0:(one Project)|(some ref1:(one Student)|((ref1 -> ref0) in (Person <: projects))));20;((Person <: projects) in (Student some-> Project));8
this/inv12;(all ref0:(one Course),ref1:(one Grade),ref2:(one Student)|((ref1 in (ref2 . (ref0 . (Course <: grades)))) => ((# (ref0 . (Course <: grades))) = 1)));20;(all ref0:(one Course),ref1:(one Student)|((ref1 in ((ref0 . (Course <: grades)) . Grade)) => (lone (ref1 . (ref0 . (Course <: grades))))));13
this/inv1;(no (Professor . (Person <: enrolled)));19;(all ref0:(one (Person - Student))|(no (ref0 . (Person <: enrolled))));3
this/inv3;(some ((Person <: teaches) . Course));19;(all ref0:(one Course)|(some ((Person <: teaches) . ref0)));3
this/inv9;(all ref0:(one Professor),ref1:(one Professor)|(no ((ref0 . (Person <: teaches)) & (ref1 . (Person <: enrolled)))));19;(all ref0:(one Professor),ref1:(one ((Person <: teaches) . (ref0 . (Person <: teaches))))|(no ((ref0 . (Person <: teaches)) & (ref1 . (Person <: enrolled)))));4
this/inv4;(all ref0:(one Project)|(one (ref0 & (Course . (Course <: projects)))));19;(all ref0:(one Project)|(one (((Course <: projects) . ref0) & Course)));6
this/inv4;(one ref0:(one Course)|(all ref1:(one Project)|(ref1 in (ref0 . (Course <: projects)))));18;(all ref0:(one Project)|(one ref1:(one Course)|(ref1 in (ref0 . (~ (Course <: projects))))));5
this/inv9;(all ref0:(one Course),ref1:(one Professor),ref2:(one Professor)|(((ref0 in (ref1 . (Person <: teaches))) && (ref1 != ref2)) => (ref0 !in (ref2 . (Person <: enrolled)))));18;(all ref0:(one Professor)|(ref0 in Professor));18
this/inv6;(all ref0:(one Course),ref1:(one Person),ref2:(one Project)|(((ref1 -> ref2) in (Person <: projects)) => (((ref0 -> ref2) in (Course <: projects)) && ((ref1 -> ref0) in (Person <: enrolled)) && (ref1 in Student))));18;(all ref0:(one Person),ref1:(one Project)|(((ref0 -> ref1) in (Person <: projects)) => (some ref2:(one Course)|(((ref0 -> ref2) in (Person <: enrolled)) && ((ref2 -> ref1) in (Course <: projects))))));17
this/inv8;(all ref0:(one Professor)|((ref0 . (Person <: enrolled)) !in (ref0 . (Person <: teaches))));17;(all ref0:(one Professor)|(ref0 !in ((Person <: enrolled) . (ref0 . (Person <: teaches)))));4
this/inv9;(all ref0:(one Professor),ref1:(one (Professor - ref0))|(no ((ref0 . (Person <: teaches)) & (ref1 . (Person <: enrolled)))));17;(all ref0:(one Professor),ref1:(one ((Person <: teaches) . (ref0 . (Person <: teaches))))|(no ((ref0 . (Person <: teaches)) & (ref1 . (Person <: enrolled)))));4
this/inv5;(all ref0:(one Project)|(some ref1:(one Person)|((ref0 in (ref1 . (Person <: projects))) => (ref1 in Student))));16;((all ref0:(one Project)|(some ref1:(one Student)|(ref0 in (ref1 . (Person <: projects))))) && (((Person <: projects) . Project) in Student));10
this/inv9;(all ref0:(one Course),ref1:(one Course),ref2:(one Professor),ref3:(one Professor)|(((ref2 != ref3) && ((ref2 -> ref0) in (Person <: teaches)) && ((ref3 -> ref1) in (Person <: enrolled))) => (ref0 != ref1)));16;(all ref0:(one Course),ref1:(one Course),ref2:(one ((Person <: teaches) . ref0)),ref3:(one ((Person <: teaches) . ref0))|((ref2 != ref3) => (((ref2 -> ref1) in (Person <: teaches)) => ((ref3 -> ref1) !in (Person <: enrolled)))));17
this/inv1;(all ref0:(one Person)|(((ref0 . (Person <: enrolled)) in Course) => (ref0 in Student)));16;(all ref0:(one Person)|((ref0 in ((Person <: enrolled) . Course)) => (ref0 in Student)));4
this/inv9;(all ref0:(one (Person - Student)),ref1:(one ((Person - Student) - ref0))|(no ((ref0 . (Person <: teaches)) & (ref1 . (Person <: enrolled)))));15;(all ref0:(one Professor),ref1:(one ((Person <: teaches) . (ref0 . (Person <: teaches))))|(no ((ref0 . (Person <: teaches)) & (ref1 . (Person <: enrolled)))));4
this/inv4;(all ref0:(one Course),ref1:(one Course),ref2:(one Project)|(((ref2 in (ref0 . (Course <: projects))) && (ref2 in (ref1 . (Course <: projects)))) => (ref0 = ref1)));15;((all ref0:(one Course),ref1:(one Course),ref2:(one Project)|(((ref2 in (ref0 . (Course <: projects))) && (ref2 in (ref1 . (Course <: projects)))) => (ref0 = ref1))) && (Project in (Course . (Course <: projects))));12
