predicate;formula;frequency;closest_solution;solution_distance
this/inv3;(all ref0:(one State)|(lone (ref0 . (State <: trans))));41;(all ref0:(one Event),ref1:(one State)|(lone (ref0 . (ref1 . (State <: trans)))));5
this/inv1;(some (State . (State <: trans)));25;(all ref0:(one State)|(some (ref0 . (State <: trans))));3
this/inv3;(all ref0:(one Event),ref1:(one State)|(lone ((ref1 . (State <: trans)) . ref0)));22;(all ref0:(one Event),ref1:(one State)|(lone ((~ (ref1 . (State <: trans))) . ref0)));5
this/inv4;(all ref0:(one State)|(ref0 in (Event . (Init . (State <: trans)))));15;(all ref0:(one State)|(ref0 in (Init . (^ {ref1:(one State),ref2:(one State)|(ref2 in (Event . (ref1 . (State <: trans))))}))));11
this/inv4;(State in (Event . (Init . (State <: trans))));12;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(ref1 in (Event . (ref0 . (State <: trans))))})));9
this/inv3;(all ref0:(one State)|(lone ((ref0 . (State <: trans)) . State)));10;(all ref0:(one Event),ref1:(one State)|(lone (ref0 . (ref1 . (State <: trans)))));7
this/inv5;(all ref0:(one State)|(Event in (State . (~ (ref0 . (State <: trans))))));9;(all ref0:(one State),ref1:(one State)|((State . (~ (ref0 . (State <: trans)))) = (State . (~ (ref1 . (State <: trans))))));12
this/inv4;((Init . (^ {ref0:(one State),ref1:(one State)|((ref0 -> (Event -> ref1)) in (State <: trans))})) = State);8;((Init . (^ {ref0:(one State),ref1:(one State)|(some ref2:(one Event)|((ref0 -> (ref2 -> ref1)) in (State <: trans)))})) = State);7
this/inv4;(State in (Init . (^ (Event . (State <: trans)))));8;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(ref1 in (Event . (ref0 . (State <: trans))))})));6
this/inv3;(all ref0:(one State)|(lone (Event . (ref0 . (State <: trans)))));8;(all ref0:(one Event),ref1:(one State)|(lone (ref0 . (ref1 . (State <: trans)))));7
this/inv5;(all ref0:(one State)|((ref0 . (State <: trans)) = (State . (State <: trans))));8;(all ref0:(one State)|(((ref0 . (State <: trans)) . State) = ((State . (State <: trans)) . State)));6
this/inv4;(State in (Init . (* {ref0:(one State),ref1:(one State)|(some ref2:(one Event)|((ref0 -> (ref2 -> ref1)) in (State <: trans)))})));8;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(some ref2:(one Event)|((ref0 -> (ref2 -> ref1)) in (State <: trans)))})));8
this/inv3;(all ref0:(one State)|(lone ((State <: trans) . ref0)));7;(all ref0:(one Event),ref1:(one State)|(lone ((~ (ref1 . (State <: trans))) . ref0)));6
this/inv4;((Init . (* {ref0:(one State),ref1:(one State)|(some ((ref0 . (State <: trans)) . ref1))})) = State);7;((Init . (^ {ref0:(one State),ref1:(one State)|(some ((ref0 . (State <: trans)) . ref1))})) = State);6
this/inv4;(all ref0:(one (State - Init))|(some ref1:(one Event)|(ref0 in (ref1 . (Init . (State <: trans))))));7;(all ref0:(one State)|(some ref1:(one Init)|(ref0 in (ref1 . (^ {ref2:(one State),ref3:(one State)|(some ((ref2 . (State <: trans)) . ref3))})))));12
this/inv4;((Event . (^ (Init . (State <: trans)))) = State);7;((Init . (^ {ref0:(one State),ref1:(one State)|(some ((ref0 . (State <: trans)) . ref1))})) = State);9
this/inv4;(State in (Event . (* (Init . (State <: trans)))));6;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(ref1 in (Event . (ref0 . (State <: trans))))})));10
this/inv3;(((~ (State . (State <: trans))) . (State . (State <: trans))) in iden);6;(all ref0:(one State)|(((~ (ref0 . (State <: trans))) . (ref0 . (State <: trans))) in iden));5
this/inv2;(lone Init);6;(one Init);2
this/inv4;(all ref0:(one State)|(some (ref0 . (Init <: (State <: trans)))));6;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(some ((ref0 . (State <: trans)) . ref1))})));12
this/inv4;((Init . (* {ref0:(one State),ref1:(one State)|((ref0 -> (Event -> ref1)) in (State <: trans))})) = State);6;((Init . (^ {ref0:(one State),ref1:(one State)|(some ref2:(one Event)|((ref0 -> (ref2 -> ref1)) in (State <: trans)))})) = State);9
this/inv4;((Event . (Init . (State <: trans))) = State);6;((Init . (^ {ref0:(one State),ref1:(one State)|(some ((ref0 . (State <: trans)) . ref1))})) = State);10
this/inv1;(some (State <: trans));5;(all ref0:(one State)|(some (ref0 . (State <: trans))));3
this/inv4;(State in Init);5;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(some ((ref0 . (State <: trans)) . ref1))})));10
this/inv3;(all ref0:(one State)|(one (ref0 . (State <: trans))));5;(all ref0:(one Event),ref1:(one State)|(lone (ref0 . (ref1 . (State <: trans)))));7
this/inv5;(all ref0:(one State)|((ref0 . (State <: trans)) in (State . (State <: trans))));5;(all ref0:(one State)|(((ref0 . (State <: trans)) . State) = ((State . (State <: trans)) . State)));8
this/inv5;(all ref0:(one Event),ref1:(one State)|(some (ref0 . (ref1 . (State <: trans)))));5;(all ref0:(one State)|((ref0 . ((State <: trans) . State)) = (State . ((State <: trans) . State))));12
this/inv5;(all ref0:(one State)|((Event . (ref0 . (State <: trans))) in Event));5;(all ref0:(one State)|(((ref0 . (State <: trans)) . State) = ((State . (State <: trans)) . State)));12
this/inv4;(all ref0:(one State)|(ref0 in (Init . (^ (Event . (State <: trans))))));5;(all ref0:(one State)|(ref0 in (Init . (^ {ref1:(one State),ref2:(one State)|(ref2 in (Event . (ref1 . (State <: trans))))}))));8
this/inv3;(all ref0:(one State)|(lone ((ref0 . (State <: trans)) . Event)));5;(all ref0:(one Event),ref1:(one State)|(lone (ref0 . (ref1 . (State <: trans)))));7
this/inv3;(lone (Event . (State . (State <: trans))));5;(all ref0:(one Event),ref1:(one State)|(lone (ref0 . (ref1 . (State <: trans)))));6
this/inv4;(all ref0:(one State)|(some ref1:(one Event)|((ref1 . (ref0 . (State <: trans))) in State)));5;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(ref1 in (Event . (ref0 . (State <: trans))))})));11
this/inv2;(all ref0:(one Init),ref1:(one Init)|(ref0 = ref1));4;(one Init);7
this/inv4;(State in ((Event . (Init . (State <: trans))) + Init));4;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(ref1 in (Event . (ref0 . (State <: trans))))})));11
this/inv1;(all ref0:(one State)|(lone (ref0 . (State <: trans))));4;(no ref0:(one State)|(no (ref0 . (State <: trans))));4
this/inv4;(State in (Event . (^ (Init . (State <: trans)))));4;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(some ((ref0 . (State <: trans)) . ref1))})));9
this/inv1;(all ref0:(one State)|(some ((State <: trans) . ref0)));4;(all ref0:(one State)|(some (ref0 . (State <: trans))));4
this/inv1;(some ((State <: trans) . State));4;(all ref0:(one State)|(some (ref0 . (State <: trans))));3
this/inv4;(State in (Init . (^ (State -> (Event . (State . (State <: trans)))))));4;(State in (Init . (^ {ref0:(one State),ref1:(one State)|(ref1 in (Event . (ref0 . (State <: trans))))})));8
this/inv1;(some ((Event -> State) & (State . (State <: trans))));4;(all ref0:(one State)|(some (ref0 . (State <: trans))));7
